,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5,3408,USDC,USDC,usd-coin,14807,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,24306256503.607327,24306256503.607327,False,,6,,,,2023-11-07T19:41:00.000Z,1.0003221286985482,4017105418.280392,4.4244,0.02100034,0.0140126,0.02870144,0.02975987,0.02931393,0.03629857,24314086246.381413,1.8164,24314086246.38,,2023-11-07T19:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-11-07 22:43:13.723410
6,5426,Solana,SOL,solana,543,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",,420901403.6704631,561946257.005053,True,,7,,,,2023-11-07T19:42:00.000Z,43.89490286605564,1688277844.1048973,86.9353,0.25972685,8.60525733,21.02071148,88.12726157,124.55340042,80.00870214,18475426230.301453,1.3807,24666576367.18,,2023-11-07T19:42:00.000Z,,,,,,2023-11-07 22:43:13.723410
7,2010,Cardano,ADA,cardano,962,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35258566740.144,36335222697.088,False,,8,,,,2023-11-07T19:41:00.000Z,0.3507527256383033,485362208.3901393,41.5619,0.51065743,-4.33757611,19.6710067,36.56219148,38.28400251,17.19230799,12367038386.205532,0.9239,15783872653.72,,2023-11-07T19:41:00.000Z,,,,,,2023-11-07 22:43:13.723410
8,74,Dogecoin,DOGE,dogecoin,821,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141735196383.70523,141735196383.70523,True,,9,,,,2023-11-07T19:42:00.000Z,0.07384230263224685,836496376.550432,26.9336,0.44980772,-2.32674987,8.49277131,20.8821416,16.82669979,-1.50155237,10466053265.0065,0.7819,10466053265.01,,2023-11-07T19:42:00.000Z,,,,,,2023-11-07 22:43:13.723410
9,11419,Toncoin,TON,toncoin,169,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,10,3414166606.0,8634790381.48381,,2023-11-07T19:42:00.000Z,2.529106331925681,67796445.60278127,263.398,-0.2646116,6.5023086,13.86399309,21.92574775,39.00173319,102.08164675,8679620009.285385,0.6489,12765812233.93,,2023-11-07T19:42:00.000Z,,,,,,2023-11-07 22:43:13.723410
10,1958,TRON,TRX,tron,862,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88733100330.52757,88733158346.93979,True,,11,71659659264.0,6941321893.134201,,2023-11-07T19:41:00.000Z,0.0968651255731179,208058138.92983705,-4.5105,0.17497505,-0.7915667,0.16597421,9.768382,22.73062676,26.77784086,8595142906.008623,0.6436,8595148525.78,,2023-11-07T19:41:00.000Z,,,,,,2023-11-07 22:43:13.723410
11,1975,Chainlink,LINK,chainlink,1409,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,556849970.4527867,1000000000.0,False,,12,,,,2023-11-07T19:41:00.000Z,13.131915205994678,917915401.7288549,32.9928,0.55107918,3.45485793,16.27394652,70.73815912,109.9295184,70.8740174,7312506594.446637,0.5463,13131915205.99,,2023-11-07T19:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2023-11-07 22:43:13.723410
12,3890,Polygon,MATIC,polygon,1047,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",10000000000.0,9244708258.998518,10000000000.0,False,,13,,,,2023-11-07T19:41:00.000Z,0.7235479628411887,375412990.484952,45.7102,0.32634212,0.7719096,14.66789392,28.69751845,33.41582845,5.56307255,6688989827.85949,0.5001,7235479628.41,,2023-11-07T19:41:00.000Z,,,,,,2023-11-07 22:43:13.723410
13,6636,Polkadot,DOT,polkadot-new,607,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1247983485.6274323,1375043987.335784,True,,14,,,,2023-11-07T19:41:00.000Z,4.913864892802324,209175207.49570113,9.272,0.31895074,-0.34673988,11.09122341,22.06110135,15.83066255,-2.19384102,6132422236.821713,0.4581,6756780375.43,,2023-11-07T19:41:00.000Z,,,,,,2023-11-07 22:43:13.723410
14,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,1479,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",,163841.87196907,163841.87196907,False,,15,,,,2023-11-07T19:42:00.000Z,35384.26434415176,127466133.03241451,1.5843,0.5290586,1.0540609,2.68241459,26.75878387,36.91788379,19.88309505,5797424108.39424,0.4332,5797424108.39,,2023-11-07T19:42:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2023-11-07 22:43:13.723410
